Timestamp,GazeX,GazeY
5102140295.1833,-975.150215939491,724.456385775429
5102140304.9057,-976.20913265703,721.231150238587
5102140315.7838,-968.612218150366,722.234513796149
5102140328.7955,-967.673880453348,722.863773819687
5102140338.4368,-971.992341383936,722.157420777324
5102140349.3196,-972.257529348598,723.511103023315
5102140362.6677,-971.657774190387,724.040711101514
5102140386.5664,-970.415274221941,725.051958561281
5102140396.6245,-969.705723748466,726.65222912885
5102140404.6663,-975.008339096422,728.111677472004
5102140417.9461,-975.797374076812,728.044116948241
5102140429.1143,-972.315074989431,727.705631497822
5102140438.1116,-954.764510820297,728.038431530062
5102140462.4525,-838.834687640489,718.577846089517
5102140471.4138,-759.546945555269,712.38612923221
5102140482.6497,-752.783276944358,712.342715792102
5102140496.647,-750.345497474452,712.42482059905
5102140511.6316,-743.52266764668,712.008405519025
5102140515.7645,-675.037414498089,708.5302764824
5102140528.6393,-665.495858553402,714.215907286366
5102140538.1635,-661.716157377472,716.025795151813
5102140549.2597,-663.497220132431,715.243020913222
5102140562.7627,-663.425544067589,715.249916544645
5102140571.5129,-664.302100975527,719.153334279995
5102140582.7427,-666.5185248065,721.907518074052
5102140595.8594,-671.927691015961,728.340218835982
5102140604.4991,-673.273770620588,731.604358079188
5102140619.0617,-675.564136253316,733.816090114706
5102140629.4535,-676.894591485203,736.302558554906
5102140638.0334,-675.589934963506,738.126000790973
5102140649.2154,-676.804540574607,739.036308718957
5102140663.6164,-704.604357432268,764.13814501995
5102140671.3386,-928.433622442241,927.998914988946
5102140695.5595,-994.005240783202,972.721908892155
5102140704.4304,-1023.88851442478,993.279431798233
5102140715.8126,-1038.76003396727,1002.78273615013
5102140727.9365,-1047.74904653008,1007.35143313562
5102140737.9672,-1058.40310804237,1012.6085303562
5102140749.4902,-1066.93044233813,1017.35279801647
5102140776.8705,-1064.60632807681,1013.89593890476
5102140782.5084,-1064.50999881393,1014.18703782931
5102140794.9887,-1062.98948686004,1015.24059414469
5102140808.5776,-1061.52892483573,1015.62355468674
5102140815.8053,-1061.53422418919,1017.11896452253
5102140829.9314,-1062.56152244234,1018.56408862756
5102140839.1764,-1062.47969435352,1021.88808730779
5102140849.0719,-1062.85260948095,1024.05333096409
5102140862.6509,-1071.89168301691,1031.79397878746
5102140885.6926,-1078.9262479172,1035.36369713597
5102140897.3022,-1214.00396043017,1044.01443492233
5102140904.6666,-1219.44800230315,1043.43560157676
5102140915.9636,-1232.68217515478,1043.28599530297
5102140929.7368,-1237.56083568609,1043.30943835876
5102140937.7697,-1245.37109142493,1043.4208602307
5102140948.9025,-1280.72397591397,1043.44400452606
5102140978.3298,-1280.13665292203,1041.88802819308
5102140982.2409,-1278.86009166898,1043.06732686013
5102140995.7378,-1278.61608851964,1044.19587203818
5102141004.2942,-1279.03799995488,1046.07419423439
5102141015.535,-1279.59008621163,1047.64509741231
5102141028.5358,-1279.33757270419,1048.05416205583
5102141039.9119,-1279.4297343062,1047.64552375848
5102141049.0808,-1278.69206672605,1047.46427772334
5102141062.3491,-1276.81837910206,1040.7149325896
5102141070.9969,-1277.77617956554,1042.85477904387
5102141086.1939,-1116.15580391383,1058.24830449531
5102141095.357,-928.134238677173,1075.1701262966
5102141104.0054,-851.194087613082,1078.65923522865
5102141117.9519,-822.514531145247,1076.97104451676
5102141130.2944,-771.790625833024,1076.6145264961
5102141137.8885,-738.283509834404,1077.20698221144
5102141149.2181,-713.768844019292,1077.97443131252
5102141164.2821,-654.692870540123,1075.41882591477
5102141180.2533,-522.077277601134,1070.70667620936
5102141195.6501,-491.620624710878,1069.88288385784
5102141197.967,-491.065334721404,1072.86463111072
5102141204.868,-482.25661859637,1072.22904568432
5102141214.9717,-476.283279706832,1076.37531560614
5102141229.5507,-473.448893484988,1078.98968988442
5102141242.5632,-472.47145451187,1077.24418437514
5102141248.428,-472.411731990341,1076.20438230194
5102141263.1701,-473.180226234802,1074.25286788679
5102141270.9525,-489.523074999565,1081.67336344648
5102141281.7295,-507.112433258341,1089.64879949917
5102141295.2745,-510.618161275613,1092.20423110004
5102141319.3205,-517.402394027523,1096.04077268111
5102141329.6161,-526.636945499674,1099.10326930305
5102141337.3558,-533.275509840205,1102.78483009709
5102141348.6363,-535.028043129091,1107.0898288444
5102141362.0335,-537.237324357871,1111.5287866379
5102141370.8948,-536.213806230612,1112.48879907211
5102141381.5161,-533.851764532719,1113.77348625222
5102141395.4371,-534.419562661756,1113.94795992856
5102141404.2628,-533.725434713594,1115.03880285856
5102141415.1577,-531.286603983965,1116.02235324739
5102141428.7511,-530.976252096742,1115.936805464
5102141437.695,-528.184899361291,1117.90463422884
5102141448.4673,-525.280066180584,1126.50058990201
