Timestamp,GazeX,GazeY
3309131.6352,-1719.53513844686,910.026353439345
3309144.3516,-1714.7994507686,900.078513314155
3309148.3815,-1714.07281974568,894.190278276844
3309165.641,-1714.04197233235,888.769000429623
3309172.4009,-1713.09338123787,887.693281576669
3309181.5234,-1709.98056052049,884.315291135227
3309198.2726,-1708.52378314993,879.948823368448
3309205.4899,-1708.78959905473,881.468584384201
3309215.124,-1709.32645516035,880.729952923057
3309231.3859,-1709.57590463156,881.658634267789
3309251.9782,-1709.80854967675,881.674702238065
3309264.7833,-1712.39446992585,878.964649349369
3309272.2791,-1713.18015446056,878.610538963585
3309281.8274,-1728.65588201639,889.543443780029
3309298.0334,-1733.17496249239,892.858406537483
3309313.0171,-1736.32266113553,894.78936672702
3309315.0936,-1772.38336501805,921.295861738528
3309331.7413,-1789.32937181906,932.199274883969
3309338.5668,-1797.90844507339,938.376637774544
3309348.3546,-1810.35997754712,948.16872637932
3309364.6433,-1818.96824980128,954.871813016599
3309374.1246,-1831.10813207968,959.430790599096
3309381.7629,-1835.54133169844,961.655557493795
3309397.9723,-1833.34953068828,959.240335036253
3309419.4653,-1836.22429510985,961.510998624006
3309431.3592,-1835.46788816663,960.795447114016
3309438.2601,-1833.67138794453,961.325531455608
3309449.7698,-1830.9417079131,962.882226218154
3309465.0177,-1827.4271187275,961.471188475991
3309480.6014,-1828.51553383965,961.3046342145
3309496.1701,-1829.65644286552,959.418992578088
3309497.7996,-1830.22561453022,958.414411516122
3309511.8112,-1830.41010065532,958.172537450384
3309514.9592,-1830.56154070577,958.065060089635
3309531.1947,-1830.47069164737,956.598683785054
3309538.3073,-1828.26935686835,956.363992512256
3309548.0687,-1827.71369441022,956.684120538434
3309564.3125,-1827.98115770576,957.344249097644
3309573.27,-1827.83829919018,957.10890470505
3309581.4538,-1827.04817557701,957.450453368016
3309597.6759,-1825.54690116027,957.777137594354
3309619.7327,-1824.74082947698,957.543812180093
3309630.9543,-1828.00356072135,955.364570153852
3309638.0405,-1833.79646778332,954.430482946824
3309650.8773,-1835.79135168224,954.320325248845
3309664.1761,-1836.49471071598,952.801931089267
3309671.0597,-1838.32392649491,952.770931147076
3309682.018,-1839.33685848647,951.899197166359
3309697.3101,-1838.96185687773,952.243272073354
3309713.2248,-1837.34521772857,953.47008801874
3309714.8598,-1837.97857446793,953.186077802315
3309730.6621,-1840.19410441687,951.892163295207
3309744.5133,-1841.6299748975,951.59040305365
3309747.9274,-1866.39689423484,942.04095026879
3309764.4019,-1868.09156989781,937.890083493112
3309775.6811,-1869.51534844471,937.480228890578
3309781.4336,-1871.04353904056,937.164935920221
3309797.4609,-1871.91982288507,936.447908560926
3309806.3601,-1872.07179830623,936.029217587641
3309814.6837,-1872.18003087846,935.652314585158
3309830.6855,-1866.80354724397,934.397660251826
3309853.2156,-1865.97059845198,934.402024390721
3309864.1561,-1864.49062504815,934.799444700943
3309871.0632,-1864.07344030884,934.732090543592
3309883.966,-1863.60926796126,934.616867009458
3309897.5129,-1862.32012629328,934.20616962438
3309904.6684,-1861.93939991487,934.702706479482
3309915.1392,-1860.19704529527,935.240657655692
3309930.4064,-1860.9476299035,935.526945335305
3309946.3076,-1860.86713401352,939.347111298259
3309947.8933,-1860.5744979416,939.377085522435
3309963.4237,-1859.63204897497,939.307040678542
3309977.486,-1859.08343762216,938.666208213833
3309981.1318,-1858.26617421692,937.989036592317
3309996.4656,-1853.87447740013,932.644014540642
3310008.6984,-1852.72291093573,931.136035534724
3310014.6681,-1852.30426718953,931.535054214485
3310030.0967,-1851.30662609211,930.840026119106
3310039.9343,-1846.62760066749,927.316402332462
3310047.5228,-1815.3071068506,923.008692544458
3310063.0783,-1814.7352842766,922.243058948851
3310070.584,-1569.24305989107,800.842830301959
3310080.8657,-1123.50992662695,560.890631429287
3310096.335,-1013.03104080731,492.26996692692
3310103.1248,-1021.70432275562,501.662339993079
3310116.46,-938.600310272142,451.252657248027
3310130.0737,-889.881532813091,422.239991963584
3310136.9594,-837.749569498032,391.346145507077
3310147.2184,-758.583251930809,338.640700803282
3310164.8259,-659.915079982086,275.667379545295
3310170.7436,-564.918673453922,219.193718877447
3310180.6269,-535.458480700036,201.028808020102
3310197.2341,-504.127110849918,181.41704955772
3310209.2463,-477.002351943378,162.525937855876
3310214.1113,-475.519126285121,161.1412142848
3310230.58,-475.702511710993,162.09342914225
3310237.2366,-474.689343529339,158.724498851213
3310247.3479,-474.408369607523,158.215282433742
3310264.0022,-473.647899825627,157.486907499396
3310271.2075,-472.773114523399,157.883871590607
3310280.6254,-473.243966297443,158.825951359768
3310297.2217,-474.054676529197,158.462035672137
3310303.8506,-473.396212599618,158.791551868026
3310317.1329,-455.67842845201,142.455630534159
3310330.4652,-361.71847732347,98.3143475559949
3310337.4232,-190.025476834997,14.0694992558252
3310363.0008,-155.851639634978,-2.24036621979054
3310364.88,-138.723709211666,-9.57285510589461
3310370.473,-125.768662827928,-15.731830677462
3310380.8455,-107.771196646517,-24.4699148304569
3310397.2001,-79.7992267177638,-38.3298529763277
3310409.3073,-43.1185235749151,-54.8102469188555
